DBLP'title,DBLP'authors,DBLP'venue,DBLP'year,ACM'title,ACM'authors,ACM'venue,ACM'year
Improving Performance in Replicated Databases through Relaxed Coherency,"Rainer Gallersdörfer, Matthias Nicola",VLDB,1995,Improving Performance in Replicated Databases through Relaxed Coherency,"Rainer Gallersd&#246;rfer, Matthias Nicola",Very Large Data Bases,1995
Redo Recovery after System Crashes,"Mark R. Tuttle, David B. Lomet",VLDB,1995,Redo Recovery after System Crashes,"David B. Lomet, Mark R. Tuttle",Very Large Data Bases,1995
"The ClustRa Telecom Database: High Availability, High Throughput, and Real-Time Response","Svein-Olaf Hvasshovd, Øystein Torbjørnsen, Svein Erik Bratsberg, Per Holager",VLDB,1995,"The ClustRa Telecom Database: High Availability, High Throughput, and Real-Time Response","Svein-Olaf Hvasshovd, &#216;ystein Torbj&#248;rnsen, Svein Erik Bratsberg, Per Holager",Very Large Data Bases,1995
NeuroRule: A Connectionist Approach to Data Mining,"Hongjun Lu, Huan Liu, Rudy Setiono",VLDB,1995,NeuroRule: A Connectionist Approach to Data Mining,"Hongjun Lu, Rudy Setiono, Huan Liu",Very Large Data Bases,1995
Querying Shapes of Histories,"Mohamed Zaït, Giuseppe Psaila, Edward L. Wimmers, Rakesh Agrawal",VLDB,1995,Querying Shapes of Histories,"Rakesh Agrawal, Giuseppe Psaila, Edward L. Wimmers, Mohamed Za&#239;t",Very Large Data Bases,1995
OPOSSUM: Desk-Top Schema Management through Customizable Visualization,"Miron Livny, Eben M. Haber, Yannis E. Ioannidis",VLDB,1995,OPOSSUM: Desk-Top Schema Management through Customizable Visualization,"Eben M. Haber, Yannis E. Ioannidis, Miron Livny",Very Large Data Bases,1995
Flexible Relations - Operational Support of Variant Relational Structures,"Peter Dadam, Christian Kalus",VLDB,1995,Flexible Relations - Operational Support of Variant Relational Structures,"Christian Kalus, Peter Dadam",Very Large Data Bases,1995
"The hBP-tree: A Modified hB-tree Supporting Concurrency, Recovery and Node Consolidation","Georgios Evangelidis, Betty Salzberg, David B. Lomet",VLDB,1995,"The hBP-tree: A Modified hB-tree Supporting Concurrency, Recovery and Node Consolidation","Georgios Evangelidis, David B. Lomet, Betty Salzberg",Very Large Data Bases,1995
Near Neighbor Search in Large Metric Spaces,Sergey Brin,VLDB,1995,Near Neighbor Search in Large Metric Spaces,Sergey Brin,Very Large Data Bases,1995
Query Processing in Tertiary Memory Databases,Sunita Sarawagi,VLDB,1995,Query Processing in Tertiary Memory Databases,Sunita Sarawagi,Very Large Data Bases,1995
Similarity based Retrieval of Pictures Using Indices on Spatial Relationships,"Chengwen Liu, A. Prasad Sistla, Clement T. Yu, King Liu",VLDB,1995,Similarity based Retrieval of Pictures Using Indices on Spatial Relationships,"A. Prasad Sistla, Clement T. Yu, Chengwen Liu, King Liu",Very Large Data Bases,1995
Scientific Journals: Extinction or Explosion? (Panel),"Gio Wiederhold, Abraham Silberschatz, Gerhard Rossbach, Raghu Ramakrishnan, Jaco Zijlstra, Hector Garcia-Molina",VLDB,1995,Scientific Journals: Extinction or Explosion? (Panel),"Raghu Ramakrishnan, Hector Garcia-Molina, Gerhard Rossbach, Abraham Silberschatz, Gio Wiederhold, Jaco Zijlstra",Very Large Data Bases,1995
Metrics for Accessing Heterogeneous Data: Is There Any Hope? (Panel),"Michael Stonebraker, Nicholas J. Belkin, Gio Wiederhold, Erich J. Neuhold, Leonard J. Seligman",VLDB,1995,Metrics for Accessing Heterogeneous Data: Is There Any Hope? (Panel),"Leonard J. Seligman, Nicholas J. Belkin, Erich J. Neuhold, Michael Stonebraker, Gio Wiederhold",Very Large Data Bases,1995
Providing Database Migration Tools - A Practicioner's Approach,Andreas Meier,VLDB,1995,Providing Database Migration Tools - A Practicioner's Approach,Andreas Meier,Very Large Data Bases,1995
Promises and Realities of Active Database Systems,"Eric Simon, Angelika Kotz Dittrich",VLDB,1995,Promises and Realities of Active Database Systems,"Eric Simon, Angelika Kotz Dittrich",Very Large Data Bases,1995
"Very Large Databases: How Large, How Different?",David Vaskevitch,VLDB,1995,"Very Large Databases: How Large, How Different?",David Vaskevitch,Very Large Data Bases,1995
Managing a DB2 Parallel Edition Database,Gilles Fecteau,VLDB,1995,Managing a DB2 Parallel Edition Database,Gilles Fecteau,Very Large Data Bases,1995
OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,"Sorana Rabinovici, John Catozzi",VLDB,1995,OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,"John Catozzi, Sorana Rabinovici",Very Large Data Bases,1995
Informix-Online XPS: A Dynamically Scalable RDBMS for Open Parallel Platforms,Hannes Spintzik,VLDB,1995,Informix-Online XPS: A Dynamically Scalable RDBMS for Open Parallel Platforms,Hannes Spintzik,Very Large Data Bases,1995
The Oracle Warehouse,Gary Hallmark,VLDB,1995,The Oracle Warehouse,Gary Hallmark,Very Large Data Bases,1995
An Approach for Building Secure Database Federations,"Klaus R. Dittrich, Dirk Jonscher",VLDB,1994,An Approach for Building Secure Database Federations,"Dirk Jonscher, Klaus R. Dittrich",Very Large Data Bases,1994
Dalí: A High Performance Main Memory Storage Manager,"S. Sudarshan, H. V. Jagadish, Rajeev Rastogi, Abraham Silberschatz, Daniel F. Lieuwen",VLDB,1994,Dali: A High Performance Main Memory Storage Manager,"H. V. Jagadish, Daniel F. Lieuwen, Rajeev Rastogi, Abraham Silberschatz, S. Sudarshan",Very Large Data Bases,1994
"Fast, Randomized Join-Order Selection - Why Use Transformations?","Arjan Pellenkoft, César A. Galindo-Legaria, Martin L. Kersten",VLDB,1994,"Fast, Randomized Join-Order Selection - Why Use Transformations?","C&#233;sar A. Galindo-Legaria, Arjan Pellenkoft, Martin L. Kersten",Very Large Data Bases,1994
Bulk Loading into an OODB: A Performance Study,"Jeffrey F. Naughton, Janet L. Wiener",VLDB,1994,Bulk Loading into an OODB: A Performance Study,"Janet L. Wiener, Jeffrey F. Naughton",Very Large Data Bases,1994
Efficient and Effective Clustering Methods for Spatial Data Mining,"Raymond T. Ng, Jiawei Han",VLDB,1994,Efficient and Effective Clustering Methods for Spatial Data Mining,"Raymond T. Ng, Jiawei Han",Very Large Data Bases,1994
Fast Incremental Indexing for Full-Text Information Retrieval,"W. Bruce Croft, James P. Callan, Eric W. Brown",VLDB,1994,Fast Incremental Indexing for Full-Text Information Retrieval,"Eric W. Brown, James P. Callan, W. Bruce Croft",Very Large Data Bases,1994
A Transaction Replication Scheme for a Replicated Database with Node Autonomy,"David Wai-Lok Cheung, Ada Wai-Chee Fu",VLDB,1994,A Transaction Replication Scheme for a Replicated Database with Node Autonomy,"Ada Wai-Chee Fu, David Wai-Lok Cheung",Very Large Data Bases,1994
A Top-Down Approach for Two Level Serializability,"N. L. Belkhodja, Mourad Ouzzani, M. A. Atroun",VLDB,1994,A Top-Down Approach for Two Level Serializability,"M. Ouzzani, M. A. Atroun, N. L. Belkhodja",Very Large Data Bases,1994
Access to Objects by Path Expressions and Rules,"Jürgen Frohn, Georg Lausen, Heinz Uphoff",VLDB,1994,Access to Objects by Path Expressions and Rules,"J&#252;rgen Frohn, Georg Lausen, Heinz Uphoff",Very Large Data Bases,1994
GraphDB: Modeling and Querying Graphs in Databases,Ralf Hartmut Güting,VLDB,1994,GraphDB: Modeling and Querying Graphs in Databases,Ralf Hartmut G&#252;ting,Very Large Data Bases,1994
Database Graph Views: A Practical Model to Manage Persistent Graphs,"Alejandro Gutiérrez, Philippe Pucheral, Jean-Marc Thévenin, Hermann Steffen",VLDB,1994,Database Graph Views: A Practical Model to Manage Persistent Graphs,"Alejandro Guti&#233;rrez, Philippe Pucheral, Hermann Steffen, Jean-Marc Th&#233;venin",Very Large Data Bases,1994
Dual-Buffering Strategies in Object Bases,"Alfons Kemper, Donald Kossmann",VLDB,1994,Dual-Buffering Strategies in Object Bases,"Alfons Kemper, Donald Kossmann",Very Large Data Bases,1994
2Q: A Low Overhead High Performance Buffer Management Replacement Algorithm,"Dennis Shasha, Theodore Johnson",VLDB,1994,2Q: A Low Overhead High Performance Buffer Management Replacement Algorithm,"Theodore Johnson, Dennis Shasha",Very Large Data Bases,1994
An Effective Deductive Object-Oriented Database Through Language Integration,"M. Howard Williams, Norman W. Paton, Andrew Dinn, Maria L. Barja, Alvaro A. A. Fernandes",VLDB,1994,An Effective Deductive Object-Oriented Database Through Language Integration,"Maria L. Barja, Norman W. Paton, Alvaro A. A. Fernandes, M. Howard Williams, Andrew Dinn",Very Large Data Bases,1994
An Algebraic Approach to Rule Analysis in Expert Database Systems,"Jennifer Widom, Elena Baralis",VLDB,1994,An Algebraic Approach to Rule Analysis in Expert Database Systems,"Elena Baralis, Jennifer Widom",Very Large Data Bases,1994
Fast Algorithms for Mining Association Rules in Large Databases,"Ramakrishnan Srikant, Rakesh Agrawal",VLDB,1994,Fast Algorithms for Mining Association Rules in Large Databases,"Rakesh Agrawal, Ramakrishnan Srikant",Very Large Data Bases,1994
Cache Conscious Algorithms for Relational Query Processing,"Jeffrey F. Naughton, Ambuj Shatdal, Chander Kant",VLDB,1994,Cache Conscious Algorithms for Relational Query Processing,"Ambuj Shatdal, Chander Kant, Jeffrey F. Naughton",Very Large Data Bases,1994
Cumulative Updates,"Beat Wüthrich, Suryanarayana M. Sripada",VLDB,1994,Cumulative Updates,"Suryanarayana M. Sripada, Beat W&#252;thrich",Very Large Data Bases,1994
Client-Server Paradise,"Jignesh M. Patel, Jie-Bing Yu, Navin Kabra, David J. DeWitt, Jun Luo",VLDB,1994,Client-Server Paradise,"David J. DeWitt, Navin Kabra, Jun Luo, Jignesh M. Patel, Jie-Bing Yu",Very Large Data Bases,1994
Content-Based Image Indexing,Tzi-cker Chiueh,VLDB,1994,Content-Based Image Indexing,Tzi-cker Chiueh,Very Large Data Bases,1994
A Low-Cost Storage Server for Movie on Demand Databases,"Alexandros Biliris, Banu Özden, Abraham Silberschatz, Rajeev Rastogi",VLDB,1994,A Low-Cost Storage Server for Movie on Demand Databases,"Banu &#214;zden, Alexandros Biliris, Rajeev Rastogi, Abraham Silberschatz",Very Large Data Bases,1994
"Composite Events for Active Databases: Semantics, Contexts and Detection","S.-K. Kim, Eman Anwar, Sharma Chakravarthy, V. Krishnaprasad",VLDB,1994,"Composite Events for Active Databases: Semantics, Contexts and Detection","Sharma Chakravarthy, V. Krishnaprasad, Eman Anwar, S.-K. Kim",Very Large Data Bases,1994
From Nested-Loop to Join Queries in OODB,"Peter M. G. Apers, Hennie J. Steenhagen, Henk M. Blanken, Rolf A. de By",VLDB,1994,From Nested-Loop to Join Queries in OODB,"Hennie J. Steenhagen, Peter M. G. Apers, Henk M. Blanken, Rolf A. de By",Very Large Data Bases,1994
A Requirement-Based Approach to Data Modeling and Re-Engineering,"Christian T. Ramiller, Alice H. Muntz",VLDB,1994,A Requirement-Based Approach to Data Modeling and Re-Engineering,"Alice H. Muntz, Christian T. Ramiller",Very Large Data Bases,1994
Experiments on Access to Digital Libraries: How can Images and Text be Used Together,Michael Lesk,VLDB,1994,Experiments on Access to Digital Libraries: How can Images and Text be Used Together,Michael Lesk,Very Large Data Bases,1994
Data Integration in the Large: The Challenge of Reuse,"Leonard J. Seligman, Arnon Rosenthal",VLDB,1994,Data Integration in the Large: The Challenge of Reuse,"Arnon Rosenthal, Leonard J. Seligman",Very Large Data Bases,1994
An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,"John G. Hughes, David A. Bell, Sarabjot S. Anand",VLDB,1994,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,"Sarabjot S. Anand, David A. Bell, John G. Hughes",Very Large Data Bases,1994
Data Compression Support in Databases,"David Wilhite, Balakrishna R. Iyer",VLDB,1994,Data Compression Support in Databases,"Balakrishna R. Iyer, David Wilhite",Very Large Data Bases,1994
An Overview of Repository Technology,"Philip A. Bernstein, Umeshwar Dayal",VLDB,1994,An Overview of Repository Technology,"Philip A. Bernstein, Umeshwar Dayal",Very Large Data Bases,1994
A Multidatabase System for Tracking and Retrieval of Financial Data,"Munir Cochinwala, John Bradley",VLDB,1994,A Multidatabase System for Tracking and Retrieval of Financial Data,"Munir Cochinwala, John Bradley",Very Large Data Bases,1994
Building a Laboratory Information System Around a C++-Based Object-Oriented DBMS,"Nathan Goodman, Steve Rozen, Lincoln Stein",VLDB,1994,Building a Laboratory Information System Around a C++-Based Object-Oriented DBMS,"Nathan Goodman, Steve Rozen, Lincoln Stein",Very Large Data Bases,1994
Challenges for Global Information Systems,"Alon Y. Levy, Divesh Srivastava, Abraham Silberschatz, Maria Zemankova",VLDB,1994,Challenges for Global Information Systems,"Alon Y. Levy, Abraham Silberschatz, Divesh Srivastava, Maria Zemankova",Very Large Data Bases,1994
Semantic Integration in Heterogeneous Databases Using Neural Networks,"Chris Clifton, Wen-Syan Li",VLDB,1994,Semantic Integration in Heterogeneous Databases Using Neural Networks,"Wen-Syan Li, Chris Clifton",Very Large Data Bases,1994
Providing Dynamic Security Control in a Federated Database,"R. F. Churchhouse, W. A. Gray, N. B. Idris",VLDB,1994,Providing Dynamic Security Control in a Federated Database,"N. B. Idris, W. A. Gray, R. F. Churchhouse",Very Large Data Bases,1994
Optimization Algorithms for Exploiting the Parallelism-Communication Tradeoff in Pipelined Parallelism,"Waqar Hasan, Rajeev Motwani",VLDB,1994,Optimization Algorithms for Exploiting the Parallelism-Communication Tradeoff in Pipelined Parallelism,"Waqar Hasan, Rajeev Motwani",Very Large Data Bases,1994
Some Issues in Design of Distributed Deductive Databases,"Nandlal L. Sarda, Mukesh K. Mohania",VLDB,1994,Some Issues in Design of Distributed Deductive Databases,"Mukesh K. Mohania, Nandlal L. Sarda",Very Large Data Bases,1994
Towards Automated Performance Tuning for Complex Workloads,"Michael J. Carey, Manish Mehta, Miron Livny, Kurt P. Brown",VLDB,1994,Towards Automated Performance Tuning for Complex Workloads,"Kurt P. Brown, Manish Mehta, Michael J. Carey, Miron Livny",Very Large Data Bases,1994
Query Optimization by Predicate Move-Around,"Inderpal Singh Mumick, Alon Y. Levy, Yehoshua Sagiv",VLDB,1994,Query Optimization by Predicate Move-Around,"Alon Y. Levy, Inderpal Singh Mumick, Yehoshua Sagiv",Very Large Data Bases,1994
Supporting Exceptions to Schema Consistency to Ease Schema Evolution in OODBMS,"Eric Dujardin, Eric Simon, Marie-Jo Bellosta, Eric Amiel",VLDB,1994,Supporting Exceptions to Schema Consistency to Ease Schema Evolution in OODBMS,"Eric Amiel, Marie-Jo Bellosta, Eric Dujardin, Eric Simon",Very Large Data Bases,1994
NAOS - Efficient and Modular Reactive Capabilities in an Object-Oriented Database System,"Thierry Coupaye, T. Svensen, Christine Collet",VLDB,1994,NAOS - Efficient and Modular Reactive Capabilities in an Object-Oriented Database System,"Christine Collet, Thierry Coupaye, T. Svensen",Very Large Data Bases,1994
Performance of Data-Parallel Spatial Operations,"Hanan Samet, Erik G. Hoel",VLDB,1994,Performance of Data-Parallel Spatial Operations,"Erik G. Hoel, Hanan Samet",Very Large Data Bases,1994
The Impact of Global Clustering on Spatial Database Systems,"Thomas Brinkhoff, Hans-Peter Kriegel",VLDB,1994,The Impact of Global Clustering on Spatial Database Systems,"Thomas Brinkhoff, Hans-Peter Kriegel",Very Large Data Bases,1994
Indexing Multiple Sets,"Christoph Kilger, Guido Moerkotte",VLDB,1994,Indexing Multiple Sets,"Christoph Kilger, Guido Moerkotte",Very Large Data Bases,1994
The hcC-tree: An Efficient Index Structure for Object Oriented Databases,"B. Sreenath, S. Seshadri",VLDB,1994,The hcC-tree: An Efficient Index Structure for Object Oriented Databases,"B. Sreenath, S. Seshadri",Very Large Data Bases,1994
New Concurrency Control Algorithms for Accessing and Compacting B-Trees,"Andrea Zisman, V. W. Setzer",VLDB,1994,New Concurrency Control Algorithms for Accessing and Compacting B-Trees,"V. W. Setzer, Andrea Zisman",Very Large Data Bases,1994
OdeFS: A File System Interface to an Object-Oriented Database,"Narain H. Gehani, William D. Roome, H. V. Jagadish",VLDB,1994,OdeFS: A File System Interface to an Object-Oriented Database,"Narain H. Gehani, H. V. Jagadish, William D. Roome",Very Large Data Bases,1994
Implementing Lazy Database Updates for an Object Database System,"Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari",VLDB,1994,Implementing Lazy Database Updates for an Object Database System,"Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari",Very Large Data Bases,1994
Towards Event-Driven Modelling for Database Design,"Maguelonne Teisseire, Pascal Poncelet, Rosine Cicchetti",VLDB,1994,Towards Event-Driven Modelling for Database Design,"Maguelonne Teisseire, Pascal Poncelet, Rosine Cicchetti",Very Large Data Bases,1994
Qualified Answers That Reflect User Needs and Preferences,"Terry Gaasterland, Jorge Lobo",VLDB,1994,Qualified Answers That Reflect User Needs and Preferences,"Terry Gaasterland, Jorge Lobo",Very Large Data Bases,1994
V-Trees - A Storage Method for Long Vector Data,"Maurício R. Mediano, Marcelo Dreux, Marco A. Casanova",VLDB,1994,V-Trees - A Storage Method for Long Vector Data,"Maur&#236;cio R. Mediano, Marco A. Casanova, Marcelo Dreux",Very Large Data Bases,1994
On Index Selection Schemes for Nested Object Hierarchies,"Sudarshan S. Chawathe, Ming-Syan Chen, Philip S. Yu",VLDB,1994,On Index Selection Schemes for Nested Object Hierarchies,"Sudarshan S. Chawathe, Ming-Syan Chen, Philip S. Yu",Very Large Data Bases,1994
RP*: A Family of Order Preserving Scalable Distributed Data Structures,"Witold Litwin, Marie-Anne Neimat, Donovan A. Schneider",VLDB,1994,RP*: A Family of Order Preserving Scalable Distributed Data Structures,"Witold Litwin, Marie-Anne Neimat, Donovan A. Schneider",Very Large Data Bases,1994
Including Group-By in Query Optimization,"Surajit Chaudhuri, Kyuseok Shim",VLDB,1994,Including Group-By in Query Optimization,"Surajit Chaudhuri, Kyuseok Shim",Very Large Data Bases,1994
The GMAP: A Versatile Tool for Physical Data Independence,"Marvin H. Solomon, Yannis E. Ioannidis, Odysseas G. Tsatalos",VLDB,1994,The GMAP: A Versatile Tool for Physical Data Independence,"Odysseas G. Tsatalos, Marvin H. Solomon, Yannis E. Ioannidis",Very Large Data Bases,1994
Memory-Contention Responsive Hash Joins,"Goetz Graefe, Diane L. Davison",VLDB,1994,Memory-Contention Responsive Hash Joins,"Diane L. Davison, Goetz Graefe",Very Large Data Bases,1994
Persistent Threads,"Joachim W. Schmidt, Florian Matthes",VLDB,1994,Persistent Threads,"Florian Matthes, Joachim W. Schmidt",Very Large Data Bases,1994
Investigation of Algebraic Query Optimisation Techniques for Database Programming Languages,"Alexandra Poulovassilis, Carol Small",VLDB,1994,Investigation of Algebraic Query Optimisation Techniques for Database Programming Languages,"Alexandra Poulovassilis, Carol Small",Very Large Data Bases,1994
Maximizing Buffer and Disk Utilizations for News On-Demand,"Raymond T. Ng, Jinhai Yang",VLDB,1994,Maximizing Buffer and Disk Utilizations for News On-Demand,"Raymond T. Ng, Jinhai Yang",Very Large Data Bases,1994
Hilbert R-tree: An Improved R-tree using Fractals,"Ibrahim Kamel, Christos Faloutsos",VLDB,1994,Hilbert R-tree: An Improved R-tree using Fractals,"Ibrahim Kamel, Christos Faloutsos",Very Large Data Bases,1994
Join Index Hierarchies for Supporting Efficient Navigations in Object-Oriented Databases,"Jiawei Han, Zhaohui Xie",VLDB,1994,Join Index Hierarchies for Supporting Efficient Navigations in Object-Oriented Databases,"Zhaohui Xie, Jiawei Han",Very Large Data Bases,1994
On Spatially Partitioned Temporal Join,"Beng Chin Ooi, Kian-Lee Tan, Hongjun Lu",VLDB,1994,On Spatially Partitioned Temporal Join,"Hongjun Lu, Beng Chin Ooi, Kian-Lee Tan",Very Large Data Bases,1994
Reasoning About Spatial Relationships in Picture Retrieval Systems,"Clement T. Yu, A. Prasad Sistla, R. Haddad",VLDB,1994,Reasoning About Spatial Relationships in Picture Retrieval Systems,"A. Prasad Sistla, Clement T. Yu, R. Haddad",Very Large Data Bases,1994
Materialization: A Powerful and Ubiquitous Abstraction Pattern,"Alain Pirotte, Esteban Zimányi, Tatiana Yakusheva, David Massart",VLDB,1994,Materialization: A Powerful and Ubiquitous Abstraction Pattern,"Alain Pirotte, Esteban Zim&#225;nyi, David Massart, Tatiana Yakusheva",Very Large Data Bases,1994
Modelling and Querying Video Data,"Rune Hjelsvold, Roger Midtstraum",VLDB,1994,Modelling and Querying Video Data,"Rune Hjelsvold, Roger Midtstraum",Very Large Data Bases,1994
Relating Distributed Objects,"R. G. G. Cattell, Bruce E. Martin",VLDB,1994,Relating Distributed Objects,"Bruce E. Martin, R. G. G. Cattell",Very Large Data Bases,1994
Integrating a Structured-Text Retrieval System with an Object-Oriented Database System,"Jurgen Annevelink, Tak W. Yan",VLDB,1994,Integrating a Structured-Text Retrieval System with an Object-Oriented Database System,"Tak W. Yan, Jurgen Annevelink",Very Large Data Bases,1994
User Interfaces; Who Cares?,Stefano Spaccapietra,VLDB,1994,User Interfaces; Who Cares?,Stefano Spaccapietra,Very Large Data Bases,1994
Scientific Databases - State of the Art and Future Directions,"Yannis E. Ioannidis, Maria Zemankova",VLDB,1994,Scientific Databases - State of the Art and Future Directions,"Maria Zemankova, Yannis E. Ioannidis",Very Large Data Bases,1994
PC Database Systems - Present and Future,Philip A. Bernstein,VLDB,1994,PC Database Systems - Present and Future,Philip A. Bernstein,Very Large Data Bases,1994
Answering queries using views: A survey,Alon Y. Halevy,VLDB J.,2001,Answering queries using views: A survey,Alon Y. Halevy,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
Global transaction support for workflow management systems: from formal specification to practical implementation,"Paul W. P. J. Grefen, Peter M. G. Apers, Jochem Vonk",VLDB J.,2001,Global transaction support for workflow management systems: from formal specification to practical implementation,"Paul Grefen, Jochem Vonk, Peter Apers",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
A survey of approaches to automatic schema matching,"Philip A. Bernstein, Erhard Rahm",VLDB J.,2001,A survey of approaches to automatic schema matching,"Erhard Rahm, Philip A. Bernstein",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
Semantic integrity support in SQL: 1999 and commercial (object-)relational database management systems,"Michael Gertz, Can Türker",VLDB J.,2001,Semantic integrity support in SQL:1999 and commercial (object-)relational database management systems,"Can T&#252;rker, Michael Gertz",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
Monotonic complements for independent data warehouses,"Gottfried Vossen, Jens Lechtenbörger, Dominique Laurent, Nicolas Spyratos",VLDB J.,2001,Monotonic complements for independent data warehouses,"D. Laurent, J. Lechtenb&#246;rger, N. Spyratos, G. Vossen",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
Designing wrapper components for e-services in integrating heterogeneous systems,"Barbara Pernici, Massimo Mecella",VLDB J.,2001,Designing wrapper components for e-services in integrating heterogeneous systems,"Massimo Mecella, Barbara Pernici",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
Active rules for XML: A new paradigm for E-services,"Stefano Ceri, Stefano Paraboschi, Angela Bonifati",VLDB J.,2001,Active rules for XML: A new paradigm for E-services,"Angela Bonifati, Stefano Ceri, Stefano Paraboschi",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
An Internet-based negotiation server for e-commerce,"Joachim Hammer, Youzhong Liu, Chunbo Huang, Yihua Huang, Herman Lam, Liu Wang, Haifei Li, Stanley Y. W. Su, Charnyote Pluempitiwiriyawej, Minsoo Lee",VLDB J.,2001,An Internet-based negotiation server for e-commerce,"Stanley Y.W. Su, Chunbo Huang, Joachim Hammer, Yihua Huang, Haifei Li, Liu Wang, Youzhong Liu, Charnyote Pluempitiwiriyawej, Minsoo Lee, Herman Lam",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
An architecture to support scalable online personalization on the Web,"Kaushik Dutta, Debra E. VanderMeer, Krithi Ramamritham, Anindya Datta, Shamkant B. Navathe",VLDB J.,2001,An architecture to support scalable online personalization on the Web,"Anindya Datta, Kaushik Dutta, Debra VanderMeer, Krithi Ramamritham, Shamkant B. Navathe",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
Integrating and customizing heterogeneous e-commerce applications,"Anat Eyal, Tova Milo",VLDB J.,2001,Integrating and customizing heterogeneous e-commerce applications,"Anat Eyal, Tova Milo",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
ObjectGlobe: Ubiquitous query processing on the Internet,"Stefan Seltzsam, Donald Kossmann, Markus Keidl, Reinhard Braumandl, Alexander Kreutz, Konrad Stocker, Alfons Kemper",VLDB J.,2001,ObjectGlobe: Ubiquitous query processing on the Internet,"R. Braumandl, M. Keidl, A. Kemper, D. Kossmann, A. Kreutz, S. Seltzsam, K. Stocker",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
XML-enabled workflow management for e-services across heterogeneous platforms,"Michael Gillmann, German Shegalov, Gerhard Weikum",VLDB J.,2001,XML-enabled workflow management for e-services across heterogeneous platforms,"German Shegalov, Michael Gillmann, Gerhard Weikum",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
Combining multi-visual features for efficient indexing in a large image database,"Quan Z. Sheng, Anne H. H. Ngu, Ron Lei, Du Q. Huynh",VLDB J.,2001,Combining multi-visual features for efficient indexing in a large image database,"Anne H. H. Ngu, Quan Z. Sheng, Du Q. Huynh, Ron Lei",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
A graph-theoretic model for optimizing queries involving methods,"Yaw-Huei Chen, Chi-Sheng Shih, Chiang Lee",VLDB J.,2001,A graph-theoretic model for optimizing queries involving methods,"Chiang Lee, Chi-Sheng Shih, Yaw-Huei Chen",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
HMAP - A temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,"Carlo Combi, Giuseppe Pozzi",VLDB J.,2001,HMAP- A temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,"Carlo Combi, Giuseppe Pozzi",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
Supporting efficient multimedia database exploration,"K. Selçuk Candan, Yoshinori Hara, Kyoji Hirata, Wen-Syan Li",VLDB J.,2001,Supporting efficient multimedia database exploration,"Wen-Syan Li, K.Sel&#231;uk Candan, Kyoji Hirata, Yoshinori Hara",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
Indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"Xiaoyang Sean Wang, Changzhou Wang",VLDB J.,2001,Indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"Changzhou Wang, X. Sean Wang",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
Checking the Temporal Integrity of Interactive Multimedia Documents,"S. Tserkezoglou, Timos K. Sellis, Barbara Pernici, Michalis Vazirgiannis, Isabelle Mirbel",VLDB J.,2000,Checking the temporal integrity of interactive multimedia documents,"I. Mirbel, B. Pernici, T. Sellis, S. Tserkezoglou, M. Vazirgiannis",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
Dynamic vp-Tree Indexing for n-Nearest Neighbor Search Given Pair-Wise Distances,"Ada Wai-Chee Fu, Yin-Ling Cheung, Yiu Sang Moon, Polly Mei-shuen Chan",VLDB J.,2000,Dynamic vp-tree indexing for n-nearest neighbor search given pair-wise distances,"Ada Wai-chee Fu, Polly Mei-shuen Chan, Yin-Ling Cheung, Yiu Sang Moon",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
View Management in Multimedia Databases,"V. S. Subrahmanian, Eric Lemar, K. Selçuk Candan",VLDB J.,2000,View management in multimedia databases,"K. Sel&#231;uk Candan, Eric Lemar, V. S. Subrahmanian",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
